"","Species","decimalLatitude","decimalLongitude","year","month","basisOfRecord"
"1","Whooping Crane",27.905213,-97.16795,2013,1,"HUMAN_OBSERVATION"
"2","Whooping Crane",28.26198,-96.809606,2013,1,"HUMAN_OBSERVATION"
"3","Whooping Crane",28.392434,-96.699102,2013,1,"HUMAN_OBSERVATION"
"4","Whooping Crane",28.044457,-96.902736,2013,1,"HUMAN_OBSERVATION"
"5","Whooping Crane",28.240393,-96.81882,2013,1,"HUMAN_OBSERVATION"
"6","Whooping Crane",30.700161,-97.35975,2013,1,"HUMAN_OBSERVATION"
"7","Whooping Crane",30.679258,-97.33612,2013,1,"HUMAN_OBSERVATION"
"8","Whooping Crane",28.13255,-96.985054,2013,1,"HUMAN_OBSERVATION"
"9","Whooping Crane",28.134745,-96.91212,2013,1,"HUMAN_OBSERVATION"
"10","Whooping Crane",30.753122,-97.38292,2013,1,"HUMAN_OBSERVATION"
"11","Whooping Crane",30.71557,-97.37938,2013,1,"HUMAN_OBSERVATION"
"12","Whooping Crane",28.149769,-96.97626,2013,1,"HUMAN_OBSERVATION"
"13","Whooping Crane",28.3108,-96.80116,2013,1,"HUMAN_OBSERVATION"
"14","Whooping Crane",28.154936,-97.001366,2013,1,"HUMAN_OBSERVATION"
"15","Whooping Crane",30.695349,-97.38505,2013,1,"HUMAN_OBSERVATION"
"16","Whooping Crane",28.17998,-96.99502,2013,1,"HUMAN_OBSERVATION"
"17","Whooping Crane",28.142859,-96.98032,2013,1,"HUMAN_OBSERVATION"
"18","Whooping Crane",28.177645,-96.9948,2013,1,"HUMAN_OBSERVATION"
"19","Whooping Crane",30.71769,-97.44278,2013,1,"HUMAN_OBSERVATION"
"20","Whooping Crane",28.147448,-96.97741,2013,1,"HUMAN_OBSERVATION"
"21","Whooping Crane",28.145643,-96.97349,2013,1,"HUMAN_OBSERVATION"
"22","Whooping Crane",28.13762,-96.98891,2013,1,"HUMAN_OBSERVATION"
"23","Whooping Crane",30.727821,-97.3905,2013,1,"HUMAN_OBSERVATION"
"24","Whooping Crane",28.176855,-96.99468,2013,1,"HUMAN_OBSERVATION"
"25","Whooping Crane",30.730392,-97.39199,2013,1,"HUMAN_OBSERVATION"
"26","Whooping Crane",30.735296,-97.39829,2013,1,"HUMAN_OBSERVATION"
